,Actual Pickup Time,Booking ID,Pickup ID,Dropoff ID,Actual Dropoff Time,Pickup Latitude,Pickup Longitude,Dropoff Latitude,Dropoff Longitude,name,district,Passenger status,Rounded Pickup Time,Pickup Date,Pickup Hour
0,2024-09-01 08:18:00,253212,40,0,2024-09-01 08:34:00,48.994215,11.461103,48.992168,11.377365,"Irfersdorf, Am Kirchplatz",Irfersdorf,Cancelled,2024-09-01 08:00:00,2024-09-01,8
1,2024-09-01 08:46:00,253369,66,0,2024-09-01 09:09:00,49.043035,11.412738,48.992168,11.377365,"Wiesenhofen, Kirche",Litterzhofen,Cancelled,2024-09-01 08:00:00,2024-09-01,8
2,2024-09-01 08:56:00,253808,30,0,2024-09-01 09:09:00,49.036378,11.470632,48.992168,11.377365,"Beilngries, Frauenkirche",Beilngries,Cancelled,2024-09-01 08:00:00,2024-09-01,8
3,2024-09-01 09:14:00,253782,40,21,2024-09-01 09:25:00,48.994215,11.461103,49.033525,11.475793,"Irfersdorf, Am Kirchplatz",Irfersdorf,Trip completed,2024-09-01 09:00:00,2024-09-01,9
4,2024-09-01 09:41:00,252382,46,22,2024-09-01 09:49:00,48.976207,11.491877,49.032928,11.479163,"Aschbuch, Waldsiedlung",Aschbuch,Cancelled,2024-09-01 09:00:00,2024-09-01,9
5,2024-09-01 09:54:00,251869,27,0,2024-09-01 10:06:00,49.041112,11.47124,48.992168,11.377365,"Beilngries, Hafen",Beilngries,Trip completed,2024-09-01 09:00:00,2024-09-01,9
6,2024-09-01 10:39:00,251083,20,9,2024-09-01 10:46:00,49.032173,11.476295,48.992112,11.434157,"Beilngries, ZOB",Beilngries,Trip completed,2024-09-01 10:00:00,2024-09-01,10
7,2024-09-01 10:29:00,253882,38,29,2024-09-01 10:38:00,49.010337,11.502283,49.035103,11.474083,"Paulushofen, Dorfstraße",Paulushofen,Cancelled,2024-09-01 10:00:00,2024-09-01,10
8,2024-09-01 10:36:00,251191,19,0,2024-09-01 10:55:00,49.033832,11.471982,48.992168,11.377365,"Beilngries, Ringstrasse",Beilngries,Cancelled,2024-09-01 10:00:00,2024-09-01,10
9,2024-09-01 10:36:00,253916,19,0,2024-09-01 10:52:00,49.033832,11.471982,48.992168,11.377365,"Beilngries, Ringstrasse",Beilngries,Trip completed,2024-09-01 10:00:00,2024-09-01,10
10,2024-09-01 11:23:00,251100,50,38,2024-09-01 11:34:00,48.976827,11.559612,49.010337,11.502283,"Wolfsbuch, Fuchsengasse",Wolfsbuch,Trip completed,2024-09-01 11:00:00,2024-09-01,11
11,2024-09-01 11:34:00,253902,38,29,2024-09-01 11:38:00,49.010337,11.502283,49.035103,11.474083,"Paulushofen, Dorfstraße",Paulushofen,Trip completed,2024-09-01 11:00:00,2024-09-01,11
12,2024-09-01 11:41:00,253352,27,0,2024-09-01 11:41:00,49.041112,11.47124,48.992168,11.377365,"Beilngries, Hafen",Beilngries,Trip completed,2024-09-01 11:00:00,2024-09-01,11
13,2024-09-01 11:41:00,253850,27,0,2024-09-01 11:41:00,49.041112,11.47124,48.992168,11.377365,"Beilngries, Hafen",Beilngries,Trip completed,2024-09-01 11:00:00,2024-09-01,11
14,2024-09-01 12:12:00,253844,46,30,2024-09-01 12:23:00,48.976207,11.491877,49.036378,11.470632,"Aschbuch, Waldsiedlung",Aschbuch,Trip completed,2024-09-01 12:00:00,2024-09-01,12
15,2024-09-01 12:16:00,253595,46,30,2024-09-01 12:47:00,48.976207,11.491877,49.036378,11.470632,"Aschbuch, Waldsiedlung",Aschbuch,Cancelled,2024-09-01 12:00:00,2024-09-01,12
16,2024-09-01 12:35:00,252795,0,11,2024-09-01 12:44:00,48.992168,11.377365,49.004607,11.447705,"Kinding, Bahnhof",Kinding,Trip completed,2024-09-01 12:00:00,2024-09-01,12
17,2024-09-01 12:53:00,252691,53,0,2024-09-01 13:08:00,48.998413,11.530053,48.992168,11.377365,Amtmannsdorf,Amtmannsdorf,Trip completed,2024-09-01 12:00:00,2024-09-01,12
18,2024-09-01 13:20:00,253372,66,17,2024-09-01 13:46:00,49.043035,11.412738,49.040293,11.464213,"Wiesenhofen, Kirche",Litterzhofen,Trip completed,2024-09-01 13:00:00,2024-09-01,13
19,2024-09-01 13:33:00,253047,65,28,2024-09-01 13:44:00,49.069082,11.40739,49.036912,11.471075,"Litterzhofen, Kirche",Plakstetten,Cancelled,2024-09-01 13:00:00,2024-09-01,13
20,2024-09-01 13:46:00,253698,17,0,2024-09-01 14:02:00,49.040293,11.464213,48.992168,11.377365,"Beilngries, Hirschberger straße",Beilngries,Trip completed,2024-09-01 13:00:00,2024-09-01,13
21,2024-09-01 13:46:00,253933,15,3,2024-09-01 13:57:00,49.03815,11.451488,49.002445,11.390002,"Hirschberg, Dorfkapelle",Hirschberg,Trip completed,2024-09-01 13:00:00,2024-09-01,13
22,2024-09-01 14:02:00,253747,0,30,2024-09-01 14:22:00,48.992168,11.377365,49.036378,11.470632,"Kinding, Bahnhof",Kinding,Trip completed,2024-09-01 14:00:00,2024-09-01,14
23,2024-09-01 14:02:00,253950,0,27,2024-09-01 14:22:00,48.992168,11.377365,49.041112,11.47124,"Kinding, Bahnhof",Kinding,Trip completed,2024-09-01 14:00:00,2024-09-01,14
24,2024-09-01 14:22:00,253876,19,0,2024-09-01 14:32:00,49.033832,11.471982,48.992168,11.377365,"Beilngries, Ringstrasse",Beilngries,Cancelled,2024-09-01 14:00:00,2024-09-01,14
25,2024-09-01 14:30:00,253965,0,29,2024-09-01 15:04:00,48.992168,11.377365,49.035103,11.474083,"Kinding, Bahnhof",Kinding,Cancelled,2024-09-01 14:00:00,2024-09-01,14
26,2024-09-01 14:45:00,251325,29,50,2024-09-01 14:57:00,49.035103,11.474083,48.976827,11.559612,"Beilngries, Rathaus",Beilngries,Cancelled,2024-09-01 14:00:00,2024-09-01,14
27,2024-09-01 14:55:00,253875,19,0,2024-09-01 16:00:00,49.033832,11.471982,48.992168,11.377365,"Beilngries, Ringstrasse",Beilngries,Trip completed,2024-09-01 14:00:00,2024-09-01,14
